,f_date,company,pct_change,article
74,2020-05-12,"Amazon.com, Inc. (AMZN)",-0.021606496056454937,"""The risk-reward for equity is maybe as bad as I've seen it in my career,"" says Stanley Druckenmiller, speaking at an event for The Economic Club of New York. The V-shaped recovery, he says, is ""a fantasy.""
Always hedging, he adds this line: ""The wild card here is the Fed can always step up [asset] purchases.""
Scratching his head about the excitement surrounding Gilead's remdesivir, Druckenmiller says he can't see why anyone would change their behavior over the viral drug.
Differing with some other hedge fund heavy hitters, Druckenmiller says the government's massive stimulus push is more likely to be deflationary than inflationary.
On Amazon (NASDAQ:AMZN), he sounds like a fan: ""We should just get down on our knees and thank the Lord that this company existed in this pandemic.""
"
75,2020-05-12,"Amazon.com, Inc. (AMZN)",-0.021606496056454937,"Thirteen U.S. attorneys general write to Amazon (NASDAQ:AMZN) requesting data on worker infections and deaths plus evidence the company is complying with paid sick leave laws during the coronavirus pandemic.
The letter, led by Massachusetts AG Maura Healey, asks for a state-by-state breakdown for the worker statistics, including Whole Foods employees.
Amazon's safety standards and worker treatment have led to a wave of strikes, the exit of a prominent AWS engineer, and a television news specials.
In France, Amazon's six warehouses remain closed after a labor complaint led a court to ban non-essential shipments, which Amazon appealed and lost.
"
76,2020-05-12,"Amazon.com, Inc. (AMZN)",-0.021606496056454937,"Chamath Palihapitiya, the CEO of Social Capital and the Chairman of Virgin Galactic (NYSE:SPCE), on CNBC said that there is now ""no doubt"" that the economy is ""completely"" divorced from equity and bond markets, with the Fed as the ""principal agent"" of that ""obfuscation.""
Big tech companies have trained consumers to save, he said -- by waiting, you get more value, so consumers rely on companies that give them more for less, like Amazon (NASDAQ:AMZN), Facebook (NASDAQ:FB), Google (NASDAQ:GOOGL), which becomes part of the deflationary supercycle.
The profits get ""trapped"" at these major tech companies which disproportionately perform in the stock market, where other business with traditional business models are left behind, he added.
Reiterates stimulus measures must go directly into the hands of taxpayers and consumers rather than current measures which inflate asset prices -- if not, we risk a Japan deflationary scenario.
Chamath strongly said that one must admit that asset price inflation does not ""trickle down.""
He notes that though he appreciate the efforts from the Fed to stabilize during the crisis, it now risks creating a deflationary cycle.
On bitcoin (BTC-USD), says that, as a believer, he felt it originally was a ""store of value."" He says that investors now, like Paul Tudor Jones, have come to know the currency, as a hedge, given the fact that we are in a deflationary spiral.
"
95,2020-05-01,"Amazon.com, Inc. (AMZN)",-0.07597411519805983,"The U.S. Congress wants to see Amazon's (NASDAQ:AMZN) Jeff Bezos about company employees potentially lying about using third-party seller data.
The testimony request from the House Judiciary Committee follows a WSJ report that Amazon employees used third-party seller data to create similar private-label products.
At a hearing last July, Amazon associate general counsel Nate Sutton told Congress that the company didn't use individual seller data for its strategy.
Amazon is currently facing an investigation from the House Antitrust Subcommittee and a probe by the FTC.
"
96,2020-05-01,"Amazon.com, Inc. (AMZN)",-0.07597411519805983,"""Employees who work in a role that can effectively be done from home are welcome to do so until at least October 2,"" an Amazon spokesman (NASDAQ:AMZN) said on Friday.
However, the statement did not specify how much of the company's overall workforce and what positions the new guidelines covered.
AMZN -5.4% to $2,340/share premarket
"
103,2020-04-28,"Amazon.com, Inc. (AMZN)",-0.02606057323232325,"Some workers from Amazon (NASDAQ:AMZN) Instacart (ICART), Whole Foods, Walmart (NYSE:WMT), Target (NYSE:TGT) and FedEx (NYSE:FDX) are scheduled to walk out on work on May 1 due to health and safety concerns amid the pandemic, according to The Intercept.
It's unclear how many workers will participate or how disruptive the strike will be, but organized actions by union and nonunion front-line workers have picked up over the last few weeks.
Separately, unions repping meat plant workers at Tyson Foods (NYSE:TSN), Pilgrim's Pride (NASDAQ:PPC) and Sanderson Farms (NASDAQ:SAFM) are already making noise about a potential action from the White House on keeping beef, poultry and pork plants open despite the need for deep cleaning or during local COVID-19 outbreaks.
"
104,2020-04-28,"Amazon.com, Inc. (AMZN)",-0.02606057323232325,"Republican Senator Josh Hawley wants the Justice Department to investigate Amazon's (NASDAQ:AMZN) use of ""predatory data practices"" on vendors on its platform.
Hawley cites the recent WSJ report that Amazon collects data on third-party merchandise to help develop its private label products.
Hawley, in a letter to the DOJ: ""I write to ask you to open a criminal antitrust investigation of Amazon. Recent reports suggest that Amazon has engaged in predatory and exclusionary data practices to build and maintain a monopoly.""
Amazon's private-label business accounts for about 1% of its $158B in annual retail sales.
In the WSJ report, former execs said Amazon wants private label to reach 10% of retail sales by 2022.
"
106,2020-04-28,"Amazon.com, Inc. (AMZN)",-0.02606057323232325,"""Amazon's (NASDAQ:AMZN) health and safety measures taken in response to the COVID-19 pandemic are so inadequate that they may violate several provisions of the Occupational Safety and Health Act,"" New York Attorney General Letitia James's office wrote in a letter to the company.
The preliminary findings ""raise serious concern"" that Amazon may have discharged Christian Smalls, a critic of the company’s warehouse conditions in the pandemic, in order to ""silence his complaints.""
A French court has meanwhile rejected the retailer's appeal against a ruling that restricts what it can deliver during the coronavirus crisis, extending the closure of its six local warehouses to May 5.
"
107,2020-04-27,"Amazon.com, Inc. (AMZN)",-0.014197862191724402,"Ahead of the April 30 earnings report, Oppenheimer maintains an Outperform rating on Amazon (NASDAQ:AMZN) and raises the price target by $300 to $2,700.
The analysts see revenue upside in AMZN's hiring of 175K additional workers, estimating that each new hire represents a $75K increase to quarterly net online sales.
The firm also sees a tailwind for Amazon in Target's business update, which included 100% QTD digital sales growth.
More action: SunTrust raises Amazon's PT from $2,450 to $2,770, expecting ""very strong top-line results"" due in part to the coronavirus-related demand surge.
The analysts say that some upside is priced in, but the market is still underappreciating Amazon in e-commerce and cloud plus its emerging position in advertising.
Amazon shares are down 1.5% to $2,374.20.
"
108,2020-04-27,"Amazon.com, Inc. (AMZN)",-0.014197862191724402,"A lone Amazon (NASDAQ:AMZN) bear emerges as Wall Street firm R5 Capital cuts the company from Buy to Sell.
Analyst Scott Mushkin cites ""future revenue growth and profit concerns"" as the money-making businesses decelerate and business costs increase.
Mushkin cuts his target from $2,408 to $1,987, noting the recent 40% rally from a March low.
The downgrade goes against the wave of analysts praising Amazon's heightened demand during the pandemic.
AMZN shares are up 1.4% pre-market to $2,443.89.
Amazon has a Very Bullish average Sell Side rating.
"
109,2020-04-27,"Amazon.com, Inc. (AMZN)",-0.014197862191724402,"Amazon (NASDAQ:AMZN) has long faced scrutiny over how it polices counterfeits and allegedly unsafe products on its platform.
In the latest update, the world's largest online retailer said it's piloting the use of video conference calls to verify the identity of merchants who wish to sell goods on its websites.
The program began early this year and included in-person appointments with prospective sellers, but was switched exclusively to video conferencing in February because of social distancing requirements.
"
110,2020-04-26,"Amazon.com, Inc. (AMZN)",-0.014197862191724402,"Against a broad selloff that slammed the S&P 500, Amazon's (NASDAQ:AMZN) share price has jumped 30%, due to the company's online retail operations, massive distribution network and AWS cloud business.
""Given the expectations now embedded in Amazon’s share price, the key question is what can go wrong. The answer? Plenty,"" writes the WSJ's Dan Gallagher.
""As CEO Jeff Bezos made clear in his annual letter to shareholders last week, even Amazon was caught flat-footed by the scale of the pandemic. This has forced the company to take measures to curtail demand for nonessential goods. Meanwhile, Amazon has had to scramble to hire at least 175,000 new workers for fulfillment and delivery. That rush will raise costs and likely hurt the operating profits Amazon’s investors have come to value.""
""Amazon's well-documented struggles to meet demand also have sent some business to competitors, many of whom have finally come up to speed with their own e-commerce offerings. Meanwhile, a huge and still-growing workforce of lower-wage retail and fulfillment employees also is putting Amazon under an unflattering spotlight over working conditions.""
"
116,2020-04-21,"Amazon.com, Inc. (AMZN)",-0.02736034152282245,"Athena, a U.S. labor and activist coalition, says 350 Amazon (AMZN -2.2%) workers from 40 facilities will take off work today to protest the company's coronavirus protections.
Worker strikes have hit several Amazon facilities in recent weeks, including protests in Staten Island and near Detroit.
Amazon has more than 500K employees in the U.S. and roughly 519 facilities in its domestic distribution infrastructure.
In France, Amazon closed all six facilities after a court-ordered ban on nonessential shipments. The closures are now extended to April 25, the day after the expected appeal court verdict.
The case originated with a labor union dispute over coronavirus health measures.
"
117,2020-04-21,"Amazon.com, Inc. (AMZN)",-0.02736034152282245,"Jefferies analyst Brent Thill raises Amazon's (NASDAQ:AMZN) price target from $2,300 to the Street-high $2,800, citing the ""attractive growth- adjusted valuation and upside to forward profit estimates.""
The analyst sees the coronavirus-related demand surge creating long-term operating income upside at high-margin businesses.
Thill writes that a sum-of-the-parts analysis shows a 70% upside over three years, and the analyst sees a path to AMZN trading at $4,000.
Jefferies maintains Amazon as its top large-cap pick.
Upcoming catalyst: Amazon will report earnings on April 30.
"
123,2020-04-17,"Amazon.com, Inc. (AMZN)",-0.013782110968463716,"Amazon (NASDAQ:AMZN) suffers a setback in the JEDI case, as a federal judge today granted the Pentagon's request to reconsider aspects of the huge cloud computing contract.
The judge's stay of Amazon's bid-protest case while the Department of Defense weighs changes to the project could last until mid-August or longer, WSJ reports.
Amazon had objected to the Pentagon's proposed reconsideration of the project, arguing it should be much broader and amounted to a mere ""do-over"" to help Microsoft preserve its win in the face of Amazon's protest.
Earlier this week, the Pentagon's inspector general issued a long-awaited report on the JEDI project that largely dismissed objections to the project from Amazon and other disappointed bidders.
"
124,2020-04-17,"Amazon.com, Inc. (AMZN)",-0.013782110968463716,"Among the large cloud platforms, Amazon (AMZN -2.6%) Web Services appears the least flexible on customer bills, according to The Information sources.
Customers seeking some financial relief during the coronavirus pandemic have reportedly had better luck negotiating with Microsoft (MSFT -0.3%) Azure and Google (GOOG +1.1%)(GOOGL +1.2%) Cloud.
The cloud platforms have experienced a surge in demand due to the work from home shift, but maintaining positive relationships with long-term customers could help the companies emerge from the pandemic in a stronger position.
AWS contributed $9.95B of Amazon's $87.44B in revenue last quarter.
"
125,2020-04-17,"Amazon.com, Inc. (AMZN)",-0.013782110968463716,"Amazon's (AMZN -1.6%) Ultra Fast Fresh would retrofit nine existing depots for fresh produce and groceries delivered within hours, according to trade magazine The Grocer.
Under the project, Amazon could bundle its Amazon Fresh a free benefit for Prime users in the U.K. rather than a separate subscription. Fresh is already included free for U.S. Prime members.
The move comes during a demand surge for grocery deliveries due to the coronavirus pandemic.
Last month, Amazon had to pause its nonperishable grocery offering Prime Pantry to have time to restock items.
Previously: Amazon's Deliveroo investment gets UK approval (Apr. 17 2020)
"
126,2020-04-17,"Amazon.com, Inc. (AMZN)",-0.013782110968463716,"The Competition and Markets Authority gives provisional approval to Amazon's (NASDAQ:AMZN) investment into Deliveroo.
Findings from the CMA probe found that Deliveroo wouldn't be able to meet its financial obligations and would have to pull out of the market without AMZN's infusion.
Key quote: ""While securing additional funding from other sources may have been possible before the coronavirus outbreak, the pandemic has severely limited the availability of finance for early-stage businesses such as Deliveroo.""
Last year, Amazon reportedly contributed $500M to a $575M round for Deliveroo, which raised questions due to the shuttering of Amazon Restaurants in Britain in 2018.
In December, the competition authority launched a phase 2 investigation after the company refused to provide remedies to antitrust concerns.
"
139,2020-04-09,"Amazon.com, Inc. (AMZN)",-0.00011746940773363042,"Amazon (NASDAQ:AMZN) has begun building ""incremental testing capacity"" for the coronavirus.
The company assembled a team of employees ranging from research scientists to software engineers to work on the project.
The company hopes to start testing ""soon"" with a small number of frontline workers.
Key quote: ""We are not sure how far we will get in the relevant timeframe, but we think it’s worth trying, and we stand ready to share anything we learn with others.""
Coronavirus-related safety concerns have led to several Amazon worker strikes in recent weeks.
Previously: Amazon trials disinfectant fog for warehouses (Apr. 08 2020)
"
148,2020-04-03,"Amazon.com, Inc. (AMZN)",-0.0063788820691101445,"Citing internal meeting notes, Reuters reports Amazon (NASDAQ:AMZN) is postponing Prime Day at least until August. It's typically taken place during July.
As a result, the company is expecting charges of $100M thanks to excess devices it may have to sell at a discount.
Shares are off 1.2% today.
"
157,2020-04-01,"Amazon.com, Inc. (AMZN)",-0.021551823146401947,"Amazon (NASDAQ:AMZN) workers at the fulfillment center near Detroit are protesting the safety conditions after at least three positive coronavirus cases at the site, according to The Verge.
The workers want more transparency from Amazon and for the center to be temporarily closed for deep cleaning.
On Monday, workers at an Amazon delivery station in Chicago walked out after a positive diagnosis.
Amazon fired the head of the Staten Island fulfillment center strike, which launched investigations by NYC and New York state.
"
158,2020-03-31,"Amazon.com, Inc. (AMZN)",-0.0072455919728272485,"Mayor Bill de Blasio has ordered the city's human rights commissioner to investigate Amazon's (NASDAQ:AMZN) firing of the Staten Island warehouse worker.
Amazon says the worker was fired for violating quarantine and safety measures. The striking workers walked off the job to demand the facility's closure after several positive coronavirus cases.
New York Attorney General Letitia James called the firing ""disgraceful"" and called for a National Labor Relations Board review.
Previously: Amazon workers strike in Italy (Mar. 30 2020)
"
159,2020-03-31,"Amazon.com, Inc. (AMZN)",-0.0072455919728272485,"Amazon (AMZN +0.6%) is being pulled in multiple directions at once amid the coronavirus outbreak, according to a Wall Street Journal article that relies on interviews with employees.
While the company is processing up to 40% more packages than normal, drawing praise from President Trump and on a hiring spree - the strain is showing in shortages, delays and worker unrest.
On the labor front, Amazon has faced employee walkouts, no-shows and even a minor strike by some Whole Foods workers. Yet, despite those headaches for the retail business, Amazon Web Services and the Amazon Prime business are both benefiting from the stay-at-home orders across the U.S.
Shares of Amazon are up 3.50% over the last four weeks vs. the 1.00% drop for the S&P 500 Index.
"
166,2020-03-27,"Amazon.com, Inc. (AMZN)",-0.028325388666397427,"Amazon (NASDAQ:AMZN) will hire Lyft (NASDAQ:LYFT) drivers to deliver packages and groceries or work in its warehouses, according to an email viewed by Bloomberg.
The tie-up can help Lyft workers earn extra money as the coronavirus puts pressure on ridesharing. Lyft lacks the in-house delivery vertical of rival Uber and its Eats service.
Amazon benefits from having more workers to keep up with the demand that has forced the tech giant to focus on essential items and pause its Prime Pantry service.
Last week, Amazon announced plans to hire 100K additional workers and gave U.S. workers an extra $2/hour in pay.
"
167,2020-03-27,"Amazon.com, Inc. (AMZN)",-0.028325388666397427,"Amazon (NASDAQ:AMZN) and Flipkart (NYSE:WMT) are among the e-commerce companies experiencing issues three days into India's lockdown.
Reuters sources say that differing local regulations have created evolving hurdles, such as the companies obtaining curfew passes for their delivery drivers.
Most of Amazon's warehouses in the region are closed down, but the company is speaking with the government in hopes of reopening soon.
The lockdown is set to last for 21 days.
"
168,2020-03-25,"Amazon.com, Inc. (AMZN)",-0.027967636034855654,"Amazon.com (NASDAQ:AMZN) will take over two of the four grocery stores it showed interest in via a bankruptcy auction from Fairway Market, the New York Post reports.
The tech/retail giant will take over two Fairway Market stores in New Jersey, for a reported $1.5M, while Shoprite operator Village Supermarket is taking at least four stores, including the flagship store at 2031 Broadway in Manhattan.
Amazon had been reported to be bidding on four markets: the two in New Jersey, along with one in Brooklyn and one in Pelham (north of Manhattan).
Village Supermarket had been a stalking horse bidder for five Manhattan store, the Pelham store and the Fairway brand name, according to the report.
"
169,2020-03-25,"Amazon.com, Inc. (AMZN)",-0.027967636034855654,"Amazon (NASDAQ:AMZN) is pausing loan repayments for sellers enrolled in the Amazon Lending program to help ease the impact of the coronavirus pandemic.
The pause will start tomorrow and last until April 30, and interest will not accrue during that time.
Amazon offers loans from $1,000 to $750,000 to help merchants acquire inventory, expand products, and advertise on the e-commerce platform.
"
170,2020-03-25,"Amazon.com, Inc. (AMZN)",-0.027967636034855654,"The Pennsylvania-led group of state attorneys general call on Amazon (AMZN -1.9%), Facebook (FB -1.4%), eBay (EBAY +3.3%), and Walmart (WMT -4.7%) to prevent coronavirus-related price gouging.
In a letter to the companies, the AGs say there's ""an ethical obligation and patriotic duty to help your fellow citizens in this time of need by doing everything in your power to stop price gouging in real-time.""
Earlier this week, Amazon revealed it had suspended more than 3,900 selling accounts on its U.S. platform for price gouging. The number added to the tens of thousands of third-party products the company pulled earlier this month.
Last week, an email to some Amazon customers requested their cooperation with a Department of Justice investigation that was reportedly tied to unfair pricing.
"
171,2020-03-25,"Amazon.com, Inc. (AMZN)",-0.027967636034855654,"Jefferies analyst Brent Thill writes that Amazon (NASDAQ:AMZN) is facing cost headwinds due to staffing increases, one-day shipping investments, customers placing smaller orders, and the shift to lower-margin essential products.
Amazon's demand has surged due to the coronavirus pandemic, which has left many local stores short on household and medical supplies.
Thill says that this ""strain"" on Amazon's system ""is unprecedented and will hit profitability.""
The analyst agrees with Amazon's decision to focus on essential item shipments, but he thinks the move raises the risk of customers turning to rivals for non-essential products, potentially cutting into sales and profitability.
Jefferies maintains a Buy rating and $2,300 target on Amazon. The company has a Very Bullish average Sell Side rating.
"
172,2020-03-25,"Amazon.com, Inc. (AMZN)",-0.027967636034855654,"The U.S. coronavirus outbreak has spread to at least six Amazon (NASDAQ:AMZN) warehouses, according to the Jeff Bezos-owned Washington Post.
In some cases, Amazon shut down facilities for cleaning, and co-workers who were in close contact with their infected colleagues have been quarantined, though some warehouse workers are still sounding the alarm about sanitary practices.
""We are supporting the individuals, following guidelines from local officials, and are taking extreme measures to ensure the safety of all the employees at our sites,"" Amazon spokeswoman Lisa Levandowski said in an emailed statement.
"
183,2020-03-20,"Amazon.com, Inc. (AMZN)",-0.01852279829646442,"Oppenheimer reiterates its Outperform rating and $2,400 target for Amazon (NASDAQ:AMZN), citing the coronavirus-related increase in demand for essentials and e-commerce.
Analyst Jason Helfstein: ""While some items are taking longer to be delivered, and grocery-delivery capacity is strained, we think Amazon is seeing record consumer demand, with share gains likely to remain post-virus.""
Helfstein expects AMZN's online store segment to grow 20% Y/Y, up from his prior 15% estimate.
The analyst now estimates Q1 physical store sales to grow more than 5%, up from more than 1%.
Amazon shares are down 1.2% to $1,859.35. The company has a Very Bullish average Sell Side rating.
"
184,2020-03-20,"Amazon.com, Inc. (AMZN)",-0.01852279829646442,"Jefferies names Amazon (AMZN +1.7%), Facebook (FB +2.8%), Alphabet (GOOG +0.4%)(GOOGL +0.3%), Wix (WIX +1.8%), and Chegg (CHGG +6.2%) as the tech companies most likely to outperform in the next year.
Analyst Brent Thill says some of the FAANG stocks are already showing signs of a rebound despite the ongoing coronavirus pandemic.
Thill: ""We think FB and GOOGL are especially well positioned for a downturn as they have $55B and $115B in net cash, respectively, allowing them to invest significantly back into their businesses and/or do opportunistic M&A and buybacks.""
The analyst sees Amazon as best-positioned in e-commerce due to the surging demand but reduces his estimates due to potential supply chain issues.
Thill also cut his revenue estimates for Lyft (LYFT +9.1%), expecting a ""severe"" demand reduction in March and Q2 due to the quarantines.
See all stocks on the move »"
195,2020-03-16,"Amazon.com, Inc. (AMZN)",-0.0536974655462186,"With the online move now happening at warp speed, Amazon (NASDAQ:AMZN) says it plans to hire 100K additional employees, and is raising pay in the U.S., Canada, the U.K. and Europe by $2 per hour (or whatever the local currency is). The current starting wage for hourly workers is $15.
""We are seeing a significant increase in demand, which means our labor needs are unprecedented for this time of year,"" says SVP of Operations Dave Clark.
Shares fell 5.2% today vs. a 12% plunge for the S&P 500.
The online e-commerce juggernaut has nearly 800,000 employees
"
196,2020-03-16,"Amazon.com, Inc. (AMZN)",-0.0536974655462186,"""As COVID-19 has spread, we've recently seen an increase in people shopping online,"" Amazon (NASDAQ:AMZN) writes in a blog post.
""In the short term, this is having an impact on how we serve our customers. In particular, you will notice that we are currently out of stock on some popular brands and items, especially in household staples categories. You will also notice that some of our delivery promises are longer than usual.""
""We are working around the clock with our selling partners to ensure availability on all of our products, and bring on additional capacity to deliver all of your orders.""
"
197,2020-03-15,"Amazon.com, Inc. (AMZN)",-0.0536974655462186,"Amazon (NASDAQ:AMZN) is trying to sell rivals Walmart (NYSE:WMT) and Target (NYSE:TGT) on using its cashierless tech, according to WSJ sources, but hasn't yet achieved its goal.
Last week, Amazon announced it would start to sell the automated checkout technology behind its Go stores to other retailers.
To woo wary competitors, Amazon is making the technology open source for a customizable experience without any direct ties to Amazon.
"
203,2020-03-12,"Amazon.com, Inc. (AMZN)",-0.07922080840279436,"Amazon.com (NASDAQ:AMZN) is paying $1.15B cash to buy the former Lord & Taylor flagship store in Manhattan, the New York Post reports.
That 660,000-square foot building was set to be headquarters for WeWork (WE) before that company's scandal-plagued fall.
Now, Amazon will pick up $750M in construction loans that had been taken out for remodeling, with some $350M in equity left for building owners. WeWork waives economic interest in the building in exchange for getting out of its lease.
It will become Amazon's NYC headquarters, housing about 4,000 employees who will move in in about 18 months, according to the report.
"
204,2020-03-12,"Amazon.com, Inc. (AMZN)",-0.07922080840279436,"Amazon (NASDAQ:AMZN) rolls out an Alexa-powered shopping experience in India, the first time the feature has launched outside the United States.
The feature is available for Android users and ""primarily in English,"" though Alexa can recognize proper nouns and regional terms in other languages.
Amazon has invested billions into its India push, including buying a 49% stake in Future Coupons, owner of the Future Retail chain.
"
207,2020-03-11,"Amazon.com, Inc. (AMZN)",-0.03750883436345798,"Amazon (NASDAQ:AMZN) says it will provide up to two weeks of pay for employees who are diagnosed with the coronavirus or placed into quarantine.
The company establishes the Amazon Relief Fund with an initial $25M to support delivery service partners, Flex workers, and seasonal employees experiencing financial stress due to the virus.
"
